Date,Price,Open,High,Low,Vol.,Change %
01/09/19,"8,284.30","9,594.70","10,896.20","7,749.00",13.58M,-13.65%
01/10/19,"9,152.60","8,285.00","10,540.00","7,329.20",19.93M,10.48%
01/11/19,"7,546.60","9,153.10","9,500.40","6,534.80",21.33M,-17.55%
01/12/19,"7,196.40","7,546.50","7,702.20","6,462.20",21.03M,-4.64%
01/01/20,"9,349.10","7,196.40","9,569.00","6,884.10",23.56M,29.91%
01/02/20,"8,543.70","9,349.30","10,482.60","8,543.70",23.76M,-8.62%
01/03/20,"6,412.50","8,543.80","9,180.80","3,869.50",48.24M,-24.94%
01/04/20,"8,629.00","6,412.40","9,437.50","6,157.40",39.41M,34.56%
01/05/20,"9,454.80","8,628.60","10,033.00","8,235.60",38.48M,9.57%
01/06/20,"9,135.40","9,454.50","10,301.80","8,865.30",15.35M,-3.38%
01/07/20,"11,333.40","10,961.10","11,434.80","10,771.80",13.21M,24.06%
01/08/20,"11,644.20","11,333.20","12,444.10","10,730.70",15.39M,2.74%
01/09/20,"10,776.10","11,644.20","12,045.90","9,877.10",83.88M,-7.46%
01/10/20,"13,797.30","10,776.60","14,065.40","10,387.60",2.41M,28.04%
01/11/20,"19,698.10","18,394.60","19,831.20","16,235.20",4.05M,42.77%
01/12/20,"28,949.40","19,697.80","29,298.80","17,600.10",3.85M,46.97%
01/01/21,"33,108.10","28,951.70","41,921.70","28,204.50",5.50M,14.37%
01/02/21,"45,164.00","33,106.80","58,335.10","32,324.90",4.01M,36.41%
01/03/21,"58,763.70","45,160.50","61,795.80","45,008.80",3.01M,30.11%
01/04/21,"57,720.30","58,763.20","64,778.00","47,098.50",2.97M,-1.78%
01/05/21,"37,298.60","57,719.10","59,523.90","30,261.70",5.33M,-35.38%
01/06/21,"35,026.90","37,294.30","41,318.00","28,901.80",4.14M,-6.09%
01/07/21,"41,553.70","35,030.70","42,285.30","29,310.20",2.44M,18.63%
01/08/21,"47,130.40","41,510.00","50,498.80","37,365.40",2.14M,13.42%
01/09/21,"43,823.30","47,129.20","52,885.30","39,646.80",2.21M,-7.02%
01/10/21,"61,309.60","43,824.40","66,967.10","43,292.90",2.18M,39.90%
01/11/21,"56,882.90","61,310.10","68,990.60","53,448.30",1.85M,-7.22%
01/12/21,"46,219.50","56,891.70","59,064.30","42,587.80",1.90M,-18.75%
01/01/22,"38,498.60","46,217.50","47,944.90","32,985.60",2.03M,-16.70%
01/02/22,"43,188.20","38,475.60","45,755.20","34,357.40",1.82M,12.18%
01/03/22,"45,525.00","43,187.20","48,199.00","37,182.10",43.70B,5.41%
01/04/22,"37,650.00","45,529.00","47,435.00","37,596.00",12.14B,-17.30%
01/05/22,"31,793.40","37,642.00","40,021.00","26,500.50",4.67B,-15.56%
01/06/22,"19,926.60","31,793.10","31,969.90","17,630.50",3.79M,-37.32%
01/07/22,"23,303.40","19,926.60","24,605.30","18,794.40",5.79M,16.95%
01/08/22,"20,043.90","23,303.40","25,205.70","19,542.90",6.55M,-13.99%
01/09/22,"19,423.00","20,049.90","22,702.50","18,191.80",10.91M,-3.10%
01/10/22,"20,496.30","19,422.90","21,038.10","18,207.90",8.29M,5.53%
01/11/22,"17,163.90","20,496.10","21,464.70","15,504.20",10.30M,-16.26%
01/12/22,"16,537.40","17,163.40","18,351.80","16,331.20",6.61M,-3.65%
01/01/23,"23,125.10","16,537.50","23,952.90","16,499.70",8.98M,39.83%
01/02/23,"23,130.50","23,124.70","25,236.80","21,418.70",9.09M,0.02%
01/03/23,"28,473.70","23,130.60","29,160.40","19,591.80",10.26M,23.10%
01/04/23,"29,252.10","28,473.70","30,964.90","27,054.30",2.03M,2.73%
01/05/23,"27,216.10","29,252.10","29,816.40","25,853.10",1.66M,-6.96%
01/06/23,"30,472.90","27,216.40","31,395.40","24,838.00",1.77M,11.97%
01/07/23,"29,232.40","30,472.90","31,764.50","28,890.70",1.23M,-4.07%
01/08/23,"25,937.30","29,232.30","30,168.60","25,481.90",1.34M,-11.27%
01/09/23,"26,962.70","25,938.30","27,480.70","24,923.10",1.15M,3.95%
01/10/23,"34,650.60","26,962.50","35,191.40","26,558.40",1.61M,28.51%
01/11/23,"37,712.90","34,648.30","38,400.80","34,124.20",1.48M,8.84%
01/12/23,"42,272.50","37,712.90","44,697.60","37,618.30",1.63M,12.09%
01/01/24,"42,580.50","42,272.50","48,923.70","38,546.90",2.03M,0.73%
01/02/24,"61,169.30","42,580.10","63,915.30","41,890.50",1.74M,43.66%
01/03/24,"71,332.00","61,157.30","73,740.90","60,138.20",2.70M,16.61%
01/04/24,"60,666.60","71,329.30","72,710.80","59,228.70",2.66M,-14.95%
01/05/24,"67,530.10","60,665.00","71,872.00","56,643.50",2.10M,11.31%
01/06/24,"62,754.30","67,533.90","71,956.50","58,589.90",1.60M,-7.07%
01/07/24,"64,626.00","62,768.80","70,000.20","53,883.40",2.06M,2.98%
01/08/24,"58,978.60","64,625.70","65,587.90","49,486.90",2.56M,-8.74%
01/09/24,"63,339.20","58,975.70","66,440.70","52,644.60",2.34M,7.39%
01/10/24,"70,281.80","63,329.90","73,569.40","59,075.70",2.56M,10.96%
01/11/24,"96,405.70","70,278.70","99,617.40","66,834.00",4.16M,37.17%
01/12/24,"93,557.20","96,404.70","108,244.90","91,522.30",4.41M,-2.95%
01/01/25,"94,536.10","94,600.00","95,928.10","89,423.10",55.30K,1.05%
01/02/25,"84,381.20","102,421.30","102,770.80","78,329.80",2.40M,-10.74%
01/03/25,"82,548.80","84,353.40","94,986.50","76,677.10",2.37M,-2.17%
01/04/25,"94,184.40","82,548.60","95,718.60","74,524.20",2.29M,14.10%
01/05/25,"104,598.00","94,181.30","111,953.60","93,408.80",2.03M,11.06%
01/06/25,"107,171.10","104,598.00","110,404.90","98,249.20",1.45M,2.46%
